id	book	chapter	verse	source_text	target_text
JHN_001_001	JHN	001	001	Bago pa nagtun ang tanan, yar na ang ginatawag nga Hambay . Ini nga Hambay hay kaibahan na ng Dios kag ang Hambay mismo hay Dios.	No kaji na pa amaogan no karawan am amyan rana o Ciring ni Ama ta do to. O Ciring rana am macilovot ji Ama ta do to. O Ciring am manoyong a Tao do to.
JHN_001_002	JHN	001	002	Kaibahan siya ng Dios bago pa magtun ang tanan.	Nimakalapo no kakwa o kapacilovot no Ciring eya ji Ama ta do to.
JHN_001_003	JHN	001	003	Ang tanan nga butang nahuman paagi sa iya kag way mahuman ang mga nahuman kung bukon siya.	Ciring o nyamaog na ni Ama ta do to so makakaday. So ikabo no asa ka maoran no karawan a ji na nyamaog no Ciring eya.
JHN_001_004	JHN	001	004	Siya ang ginghalinan ng matuod nga kabuh. Ini nga kabuh hay kahayag. Paagi diri, maiintindihan ng mga tawo ang kamatuuran.	O Ciring ni Ama ta do to am ori o yapwan no inawan no tao. O inawan rana am zezngang a ikavyay no tao.
JHN_001_005	JHN	001	005	Siya hay nagahayag pareho ng iwag sa kaduyom kag way gid napeperdi ng kaduyom ang kahayag.	O zezak am cirain na o kasarisaryan. So ji na makahespi so mazngang no masari.
JHN_001_006	JHN	001	006	Igwa ning tawo nga ang pangayan hay Juan nga gingsug ng Dios.	O meyngaran so Yowani a tao am nitovoy na ni Ama ta do to a lamlamsoy na.
JHN_001_007	JHN	001	007	Gingsug siya para magpamatuod parti sa kahayag nga nagkari sa kalibutan, agud ang tanan hay magtuo tungod sa iya pamatuod.	Iya rana am ipanci na do tao o zezngang a kamimin no tao a makamizing sya kapanganoyong da rana.
JHN_001_008	JHN	001	008	Bukon si Juan ang kahayag, pero gingsug siya para magpamatuod parti sa ini nga kahayag.	Am beken a iya ori o zezak ang, ta o kapangnanao na no zezak ang.
JHN_001_009	JHN	001	009	Si Hesus ang matuod nga kahayag nga nagaabot sa kalibutan para mahayagan ang mga tawo agud maintindihan ang kamatuuran.	O zezak rana am manoyong a zezngang apo do teyngato a tomiray so tao do karawan.
JHN_001_010	JHN	001	010	Nag-abot gid siya sa kalibutan, pero aber natuga ang kalibutan paagi sa iya, way siya gingkilay-a ng mga tawo kung sin-o siya.	O Ciring rana am amyan rana do karawan a nipangamaog na ni Ama ta do to so karawan. Am kaji da makatenngan jya no tao do karawan.
JHN_001_011	JHN	001	011	Nagkari siya sa kaugalingon niya nga nasyon, pero way siya gingbatuna ng kadamuan.	Mangay do pacikeylyan na am to da nazibwan no tao do dang.
JHN_001_012	JHN	001	012	Pero ang tanan nga nagbaton kag nagtuo sa iya hay gingtaw-an niya ning pribilihiyo nga maging mga ung ng Dios.	Sira rana ji nazibo nya tao a kano omanoyong jya tao am abneken na sira akma ney anak ni Ama ta do to.
JHN_001_013	JHN	001	013	Nahuman sinda nga mga ung ng Dios bukon paagi sa tawhanon, o sa kagustuhan ng lawas, o sa kagustuhan ng mag-asawa, kund paagi sa kabubut-on ng Dios.	Am beken a meyngongyod sira ori a nimapodpod so kataotao ji Ama ta do to, ta omaing do kanoyong da ji Ama ta do to. Am ori o abnekan na sira akma ney anak.
JHN_001_014	JHN	001	014	Ang ginatawag nga Hambay, siya hay naging tawo kag nag-istar diri sa kalibutan kaibahan naton. Maluluy-on gid siya kag matuod gid ang tanan nga iya ginahambay. Nakit namon ang iya gahom kag kahayag bilang bugtong nga Ung halin sa Dios nga Amay.	So nipeyvaliw no Ciring a tao a macikaop jyaten a tey rako so pangangarilawan a tey manoyong. So nipakacittan namen rana so azwazway na. So ikanoyong na abo so ikararwa angayan no azwazway. Ta iya rana am veyvowen na Anak ni Ama ta do to.
JHN_001_015	JHN	001	015	Nagpamatuod si Juan sa mga tawo, Imaw ini ang akon gusto hambayon nang ginghambay ko, May isa ka tawo nga kasunod ko nga maabot. Mas importante siya kaysa sa akon kay bago pa ako natawo, yar na siya.	Iya o ipeylimwang ni Yowani amlololos a manci no, Iya o nimalavat ko na a manownowji pa a mai a ka nyaken. Am mahamahama pa ori ka nyaken. Ta amyan rana no kaji ko pa tazakan do karawan.
JHN_001_016	JHN	001	016	Tungod sa iya madak nga paghigugm, padayon gid kita tanan nga nakabaton ng abunda nga pagpakamaayo.	Yateywara o pangangarilawan na a na itoro jyaten. O aryarilaw na jyaten am yabo yakasaraw a na ipeywalam.
JHN_001_017	JHN	001	017	Ang Kasuguan hay gingtao ng Dios paagi kay Moises, pero ang pagpakamaayo kag kamatuuran hay gingpasayod sa aton paagi kay Hesu-Kristo.	O iwawalam na ni Ama ta do to o nipangnanao na ni Moyse a onotan ta. Am o pangangarilawan na kano manoyong a nanao na ni Ama ta do to am ori o nyai na ni Yeso Kizisto do tao do karawan.
JHN_001_018	JHN	001	018	Way gid ning bisan sin-o nga nakakit sa Dios. Pero gingpakilaya siya sa aton ng iya bugtong nga Ung. Siya mismo hay Dios nga malapit sa tagipusuon ng iya Amay.	Abo pa o tao a nimakacita si Ama ta do to. O Anak na yamacikto ji Ama ta do to a yamlisna do katangked na am ori o nipakateneng ta ji Ama ta do to.
JHN_001_019	JHN	001	019	Isa ka adlaw, ang mga miyugdumaya ng mga Judio hay nagsug ng mga par kag mga Levita halin sa Jerusalem para pangutan-on si Juan kung sin-o siya. Naghambay sinda, Sin-o ka?	No kano nang am o meynakem a tao do Yotay do Yelosaleng am nimanovoy sira so mapatanatanang so nakem da si Ama ta do to a kano Diwey a tao a mangay a tomita si Yowani. Maniring sira jya am, Sino ka ya.
JHN_001_020	JHN	001	020	Way si Juan nagbalibad kund nagsabat ning matuod, Bukon ako ang Kristo nga indo ginahuyat.	Maniring jira am, To ko na macitangayan jinyo am beken a Misayya ko.
JHN_001_021	JHN	001	021	Ngan gingpangutana ninda siya liwat, Kung imaw in, sin-o ka? Ikaw ba si Elias?	Maniring sira am, Si Idiya ka ya an? Maniring jira si Yowani am, Beken a yaken nyo ipanci ang. Maniring sira pa am, Manngwa, panoyonoywan na imo so ciring ni Ama ta do to a namen nanalahen a mai? Maniring am, Beken.
JHN_001_022	JHN	001	022	Nagsabat si Juan, Bukon.	Maniring pa sira am, Pancyan pa jyamen, sino ka. Ta itovis namen do yanimapahanhan jyamen. Pancyan pala wanjin mo kapwan.
JHN_001_023	JHN	001	023	Kag nagpangutana pa gid sinda, Ikaw ba ang propeta nga magaabot?	Maniring si Yowani am, Yaken o nipanci ni Isayya a omlololos do kabwan no nihakawan no tao. Ta maniring am, Ipeywadwad nyo o Panirsirngen so rarahan na.
JHN_001_024	JHN	001	024	Nagsabat siya, Bukon!	Karahan am pacicin da pa si Yowani no nitovoy da no tao a macyagom do Vadisay.
JHN_001_025	JHN	001	025	Ngan gingpangutana pa gid ninda siya, Sin-o ka gid gal? Balitai kami agud may maisabat da kami sa mga nagsug sa amon. Ano ang mahahambay mo parti sa imo kaugalingon?	Maniring sira am, Beken a Misayya ka? Beken a si Idiya ka? Beken a panoyonoywan na imo so ciring ni Ama ta do to? Am ikongo mo ipanaktak so tao.
JHN_001_026	JHN	001	026	Nagsabat siya, Ako adto ang ginghambay ni Propeta Isaias, May magasinggit sa tiway nga lugar, Tadlunga nindo ang agihan kay maabot ang Ginoo.	Maniring si Yowani am, Yako manaktak no ranom. Am amyan so asa ka tao a yamacikaop jinyo a yanyo jyatenngi.
JHN_001_027	JHN	001	027	Ngan ang mga gingsug ng mga Pariseo	Iya rana am manownowji pa a mai ka nyaken. Am tana manownowji pa mai ka nyaken am yabo pacicingayan ko jya.
JHN_001_028	JHN	001	028	nagpangutana liwat, Kung bukon ikaw ang Kristo, o si Elias, o ang propeta, bas nagabawtismo ka?	O vazay rana ya am no keyyan da do katovangan no Yotan a ayo a ili da do Potani. Do dang rana am nipanaktakan ni Yowani.
JHN_001_029	JHN	001	029	Nagsabat si Juan, Ako hay nagabawtismo sa tub, pero may kaibahan kamo niyan nga way nindo nakikilaya kung sin-o siya.	Ikadwa na araw am macita ni Yowani si Yeso a mai. Maniring si Yowani am, Oya rana am akmey kagling a nitovoy na ni Ama ta do to a omahap so tao do peyraratenan da.
JHN_001_030	JHN	001	030	Siya ang ginahambay ko nga maabot masunod sa akon. Kag ind gid ako angay aber magbaskad ng higot ng iya sandalyas.	Iya rana ya am nipanci ko rana jinyo a manownowji a mai. Am arakorako pa oyowyat na ka nyaken. Ta ji ko pa nimatazak a tao am amyan rana.
JHN_001_031	JHN	001	031	Natab ini didto sa lugar ng Betania sa kabuak ng Sub ng Jordan kung sa diin si Juan nagabawtismo.	No kakwa am ji ko pa tenngi ori. O yako ipanaktak no ranom sicyaikwaya am ko panopen sira o Isedi a tao a kapakateneng da na jya.
JHN_001_032	JHN	001	032	Nang masunod nga adlaw, nakit ni Juan si Hesus nga nagapalapit sa iya; ngan naghambay siya, Tan-awa! Yari na ang Kordero ng Dios nga halad agud mapatawad ang kasal-anan ng mga tawo.	Maniring pa si Yowani am, Ko nimacita o Seyzi a yakmey hato a yameyhekas do teyrahem a yamangay someyked do kataotao na.
