id	book	chapter	verse	source_text	target_text
JHN_001_001	JHN	001	001	Bago pa nagtun ang tanan, yar na ang ginatawag nga Hambay . Ini nga Hambay hay kaibahan na ng Dios kag ang Hambay mismo hay Dios.	Sacbay nito rugi niya amin, uwed sigud nga kabulun ne Apu Diyus nga maawagan ka Kagi. Ket Diyus mettas pe yani.
JHN_001_002	JHN	001	002	Kaibahan siya ng Dios bago pa magtun ang tanan.	Ngarud, sigud da nga agbulubulun, orey ito sacbay nga mairugi ya amin.
JHN_001_003	JHN	001	003	Ang tanan nga butang nahuman paagi sa iya kag way mahuman ang mga nahuman kung bukon siya.	Ket amin nga pinarsuwa ne Apu Diyus, nipaparsuwa na igina. Ngarud, awan met naparsuwa no di gapu was igina.
JHN_001_004	JHN	001	004	Siya ang ginghalinan ng matuod nga kabuh. Ini nga kabuh hay kahayag. Paagi diri, maiintindihan ng mga tawo ang kamatuuran.	Idi nga maawagan ka Kagi, igina ya pagtaudan niya biyag. Ket idi nga biyag, itu ya arig nga mangwada iya lemlemmet diya toley.
JHN_001_005	JHN	001	005	Siya hay nagahayag pareho ng iwag sa kaduyom kag way gid napeperdi ng kaduyom ang kahayag.	Ket ya wada, agdarang iya gicbet, ket madi mabalinan niya gicbet nga pagicbetten.
JHN_001_006	JHN	001	006	Igwa ning tawo nga ang pangayan hay Juan nga gingsug ng Dios.	Ket itun, uwed isa nga toley nga nibon ne Apu Diyus nga agnagan ka Juan.
JHN_001_007	JHN	001	007	Gingsug siya para magpamatuod parti sa kahayag nga nagkari sa kalibutan, agud ang tanan hay magtuo tungod sa iya pamatuod.	Naibon yani nga mangipakaemmu kadiya toltoley maipanggep iyan nga maawagan ka wada, tasun gapu iya panangipakaemmu nito Juan, mamati kuma diya amin nga makagicna igina.
JHN_001_008	JHN	001	008	Bukon si Juan ang kahayag, pero gingsug siya para magpamatuod parti sa ini nga kahayag.	Bekken nga e Juan to maawagan ka wada, no di lugud igina ya naibon nga mangipakaemmu iya maipanggep iya maawagan ka wada.
JHN_001_009	JHN	001	009	Si Hesus ang matuod nga kahayag nga nagaabot sa kalibutan para mahayagan ang mga tawo agud maintindihan ang kamatuuran.	Ket ya pudnu nga maawagan ka wada, igina ya umbet iya lubung ngi nga mangwada iya orey nagan na nga toley.
JHN_001_010	JHN	001	010	Nag-abot gid siya sa kalibutan, pero aber natuga ang kalibutan paagi sa iya, way siya gingkilay-a ng mga tawo kung sin-o siya.	Ngarud, ya mangwada, uwed idi nga lubung itun. Ket amin nga uwed iya lubung, naparsuwa gapu igina. Ngem orey pe no agten iyan, diya toltoley iya lubung, madi da met naawatan ya maipanggep igina itun.
JHN_001_011	JHN	001	011	Nagkari siya sa kaugalingon niya nga nasyon, pero way siya gingbatuna ng kadamuan.	Ket ito inumbet iya mismu nga ili na, madi met inawat diya kailiyan na.
JHN_001_012	JHN	001	012	Pero ang tanan nga nagbaton kag nagtuo sa iya hay gingtaw-an niya ning pribilihiyo nga maging mga ung ng Dios.	Ngem diya amin nga imawat igina, nga itu diya sipapati iya kinaturay na, necdan na da ka kalinteggan nga agbalin nga anac ne Apu Diyus.
JHN_001_013	JHN	001	013	Nahuman sinda nga mga ung ng Dios bukon paagi sa tawhanon, o sa kagustuhan ng lawas, o sa kagustuhan ng mag-asawa, kund paagi sa kabubut-on ng Dios.	Ket dito nagbalin nga anac ne Apu Diyus, bekken nga gapu iya kadawyan nga pannakaiyanac da ka toley, winno gapu iya tarigagay niya kinatoley winno ya tarigagay niya kinalalaki, no di lugud gapu was iya pannakabalin ne Apu Diyus.
JHN_001_014	JHN	001	014	Ang ginatawag nga Hambay, siya hay naging tawo kag nag-istar diri sa kalibutan kaibahan naton. Maluluy-on gid siya kag matuod gid ang tanan nga iya ginahambay. Nakit namon ang iya gahom kag kahayag bilang bugtong nga Ung halin sa Dios nga Amay.	Ngarud, to maawagan ka Kagi, ket nagbalin nga toley itun, ket nakipagedyan dactida idi nga lubung. Ket dakami, nasingen mi ya kinadayaw na nga tumaud e Apu Diyus nga Ama na. Igina ngarud ya nadayaw nga kackaisu nga Anac ne Apu Diyus, ket yan nas siaayat nga asi, se kinapudnu ya uwed igina.
