id	book	chapter	verse	source_text	target_text
JHN_001_1	JHN	001	1	Bago pa nagtun ang tanan, yar na ang ginatawag nga Hambay . Ini nga Hambay hay kaibahan na ng Dios kag ang Hambay mismo hay Dios.	Asal ha tagnaan, yaun na in Parman, iban in Parman asal naghahambuuk iban Tuhan, karna in Parman amu na in Tuhan.
JHN_001_10	JHN	001	10	Nag-abot gid siya sa kalibutan, pero aber natuga ang kalibutan paagi sa iya, way siya gingkilay-a ng mga tawo kung sin-o siya.	Sagawa sin d siya ha dunya wala siya kla sin manga mnusiya, minsan da siya in nagpapanjari sin unu-unu katn dayn ha kabayaan sin Tuhan.
JHN_001_11	JHN	001	11	Nagkari siya sa kaugalingon niya nga nasyon, pero way siya gingbatuna ng kadamuan.	Miyari siya pa hula nap niya hulaan, sagawa minsan in manga pagkahi niya hangka-bangsa, wala da timayma kaniya.
JHN_001_12	JHN	001	12	Pero ang tanan nga nagbaton kag nagtuo sa iya hay gingtaw-an niya ning pribilihiyo nga maging mga ung ng Dios.	Sagawa hisiyu-siyu in timayma ha amu in piyagbahasa Parman iban nagparachaya isab kaniya, dhilan niya sila kapatutan mahinang manga anak sin Tuhan.
JHN_001_13	JHN	001	13	Nahuman sinda nga mga ung ng Dios bukon paagi sa tawhanon, o sa kagustuhan ng lawas, o sa kagustuhan ng mag-asawa, kund paagi sa kabubut-on ng Dios.	Ampa in kahinang kanila anak sin Tuhan bukun biya kaagi sin paganak sin tau d ha dunya, amu in guwa dayn ha kabayaan atawa ganta sin mnusiya. Sagawa mahinang sila manga anak sin Tuhan dayn ha kabayaan sin Tuhan.
JHN_001_14	JHN	001	14	Ang ginatawag nga Hambay, siya hay naging tawo kag nag-istar diri sa kalibutan kaibahan naton. Maluluy-on gid siya kag matuod gid ang tanan nga iya ginahambay. Nakit namon ang iya gahom kag kahayag bilang bugtong nga Ung halin sa Dios nga Amay.	Manjari in piyagbahasa Parman nagbaran mnusiya, limahil mari pa dunya iban himangka-hula ktuniyu. Jukup in kasi-lasa niya iban siya in magpakita sin katn kasabunnalan. Kta namu in sahaya iban kawasa niya amu in sahaya iban kawasa matp tuud ha hambuuk-buuk Anak Tuhan.
JHN_001_15	JHN	001	15	Nagpamatuod si Juan sa mga tawo, Imaw ini ang akon gusto hambayon nang ginghambay ko, May isa ka tawo nga kasunod ko nga maabot. Mas importante siya kaysa sa akon kay bago pa ako natawo, yar na siya.	Hi Yahiya in namayta pasal sin amu in piyagbahasa Parman. Namichara siya matanug, laung niya, Siya na ini in bakas piyagiyan ku kaniyu. Laung ku, Siya in sumunud kku, sagawa labi in kawasa niya dayn kku, sabab in siya asal awn na ha wala pa aku natau. Amu yan in bayta hi Yahiya.
JHN_001_16	JHN	001	16	Tungod sa iya madak nga paghigugm, padayon gid kita tanan nga nakabaton ng abunda nga pagpakamaayo.	Pagga jukup in kasi-lasa niya, in kitaniyu katn awn kahampitan. Magdurugang in tulung-tabang niya ktuniyu amu in ihilas tuud sin atay niya.
JHN_001_17	JHN	001	17	Ang Kasuguan hay gingtao ng Dios paagi kay Moises, pero ang pagpakamaayo kag kamatuuran hay gingpasayod sa aton paagi kay Hesu-Kristo.	Hi Musa in nagpasampay pa manga mnusiya sin sara piyanaug sin Tuhan, sagawa hi sa Almasi , amu in piyagbahasa Parman in nagpasampay pa manga mnusiya sin kasi-lasa iban sin kasabunnalan sin Tuhan.
JHN_001_18	JHN	001	18	Way gid ning bisan sin-o nga nakakit sa Dios. Pero gingpakilaya siya sa aton ng iya bugtong nga Ung. Siya mismo hay Dios nga malapit sa tagipusuon ng iya Amay.	Wayruun mnusiya in nakakita ha Tuhan, luwal da amu in hambuuk-buuk Anak niya, karna in siya asal amuna tuud in Tuhan. Siya in nagpaingat ha manga mnusiya pasal sin Tuhan Ama niya, sabab in sila asal hambuuk da.
JHN_001_19	JHN	001	19	Isa ka adlaw, ang mga miyugdumaya ng mga Judio hay nagsug ng mga par kag mga Levita halin sa Jerusalem para pangutan-on si Juan kung sin-o siya. Naghambay sinda, Sin-o ka?	Manjari biya ha ini in bayta hi Yahiya pasal sin Almasi. Awn hambuuk waktu diyaak sin manga Yahudi, amu in nagkakaput sara agama ha Awrusalam Baytal Makdis, in manga imam iban sin manga tau mananabang ha manga imam, madtu kan Yahiya mangasubu bang hisiyu tuud siya.
JHN_001_2	JHN	001	2	Kaibahan siya ng Dios bago pa magtun ang tanan.	Iban asal dayn ha panagnaan pa, naghahambuuk na in Parman iban Tuhan.
JHN_001_20	JHN	001	20	Way si Juan nagbalibad kund nagsabat ning matuod, Bukon ako ang Kristo nga indo ginahuyat.	Wala naglibun hi Yahiya kanila. Biyaytaan niya sila sin kasabunnalan, laung niya, Bukun aku in Almasi.
JHN_001_21	JHN	001	21	Ngan gingpangutana ninda siya liwat, Kung imaw in, sin-o ka? Ikaw ba si Elias?	Laung nila, Bang kaw bukun in Almasi, hisiyu kaw tuud? Ikaw baha hi Ilyas?
JHN_001_22	JHN	001	22	Nagsabat si Juan, Bukon.	Bukun, in sambung hi Yahiya.
JHN_001_23	JHN	001	23	Kag nagpangutana pa gid sinda, Ikaw ba ang propeta nga magaabot?	Ikaw ka in nabi amu in tiyatagaran sin bangsa natu Israil?
JHN_001_24	JHN	001	24	Nagsabat siya, Bukon!	Bukun, in sambung hi Yahiya.
JHN_001_25	JHN	001	25	Ngan gingpangutana pa gid ninda siya, Sin-o ka gid gal? Balitai kami agud may maisabat da kami sa mga nagsug sa amon. Ano ang mahahambay mo parti sa imo kaugalingon?	Laung sin manga imam, Na, baytai kami bang hisiyu kaw, sabab subay tuud awn hikabayta namu pa manga tau nagdaak kmu miyari. Baytai kami sin pasal mu bang hisiyu kaw tuud.
JHN_001_26	JHN	001	26	Nagsabat siya, Ako adto ang ginghambay ni Propeta Isaias, May magasinggit sa tiway nga lugar, Tadlunga nindo ang agihan kay maabot ang Ginoo.	Siyambungan sila hi Yahiya sin manga lapal-kabtangan amu in sibu tuud iban sin bayta kiyasulat hi Nabi Isayas ha lawm Kitab. Laung niya,
JHN_001_27	JHN	001	27	Ngan ang mga gingsug ng mga Pariseo	Aku in tau manawag-tawag ha hula paslangan mahunit paghulaan.
JHN_001_28	JHN	001	28	nagpangutana liwat, Kung bukon ikaw ang Kristo, o si Elias, o ang propeta, bas nagabawtismo ka?	Laung ku ha manga tau, Pabuntula niyu in dn labayan sin Panghu !
JHN_001_29	JHN	001	29	Nagsabat si Juan, Ako hay nagabawtismo sa tub, pero may kaibahan kamo niyan nga way nindo nakikilaya kung sin-o siya.	Na, in manga imam naraak sin manga Parisi, amu in hambuuk tumpuk sin magkakaput sin sara agama Yahudi, nangasubu na isab kan Yahiya.
JHN_001_3	JHN	001	3	Ang tanan nga butang nahuman paagi sa iya kag way mahuman ang mga nahuman kung bukon siya.	In unu-unu katn naawn, piyaawn sin Parman dayn ha kabayaan sin Tuhan. Wayruun hangsulag unu-unu in naawn bang bukun guwa dayn ha Parman.
JHN_001_30	JHN	001	30	Siya ang ginahambay ko nga maabot masunod sa akon. Kag ind gid ako angay aber magbaskad ng higot ng iya sandalyas.	Laung nila, Bang kaw bukun in Almasi atawa hi Ilyas atawa in nabi amu in piyagtatagaran sin bangsa natu Yahudi, mayta kaw mangligu ha manga tau?
JHN_001_31	JHN	001	31	Natab ini didto sa lugar ng Betania sa kabuak ng Sub ng Jordan kung sa diin si Juan nagabawtismo.	In sambung hi Yahiya, In aku miyari nangligu ha manga tau sin tubig. Sagawa awn hambuuk tau in labi dayn kku. Yan siya limalamugay kaniyu, sa di niyu siya kaingatan.
JHN_001_32	JHN	001	32	Nang masunod nga adlaw, nakit ni Juan si Hesus nga nagapalapit sa iya; ngan naghambay siya, Tan-awa! Yari na ang Kordero ng Dios nga halad agud mapatawad ang kasal-anan ng mga tawo.	Miyari siya pa dunya simunud kku, sagawa minsan humubad sin hukut tawmpa niya, di aku tpun sabab landu tuud mataas in kawasa niya dayn kku.
JHN_001_33	JHN	001	33	Imaw ini ang akon ginghambay dati sa indo, May isa ka tawo nga magaabot masunod sa akon nga mas importante kaysa sa akon, kay bago pa ako natawo, yar na siya.	Na, amu na yan in kimugdan kan Yahiya ha waktu siya duun nagliligu ha manga tau ha hula Bitani ha dapit pa subangan sin Suba Jurdan.
JHN_001_34	JHN	001	34	Nang una, aber ako mismo hay way nakakakilaya sa iya kung sin-o gid siya, pero ang rason kung bas nagabawtismo ako hay agud ipakilaya siya sa indo nga mga taga-Israel.	Na, pagadlaw hambuuk kta hi Yahiya hi sa miyamanaw sng mawn kaniya. Laung hi Yahiya, Yan na in giyanti anak bili-bili pagkulbanan pa Tuhan, karna siya in piyalahil sin Tuhan mamuas ha manga mnusiya dayn ha manga dusa nila!
JHN_001_35	JHN	001	35	Kag imaw ini ang gingpamatuod ni Juan, Nakit ko ang Espiritu Santo nga daw salampati nga nagabab pakadto sa iya halin sa langit kag nagtinir sa iya.	Siya na ini in piyagiyan ku kaniyu. Bakas ta kamu biyaytaan, laung ku, Awn tau sumunud kku, sagawa labi tuud mataas in kawasa niya dayn kku, sabab in siya asal naawn ha wala pa aku natau.
