id	book	chapter	sentence_no	source_text	target_text
ACT_001_1	ACT	001	1	Ug kini nasulat usab,	Hayaang kunin ng iba ang kanyang katungkulan.
ACT_001_1	ACT	001	1	Si Jesus mitubag kanila, Ang mga panahon ug mga adlaw gitakda nang daan diha sa pagbuot sa akong Amahan.	Ngunit tatanggap kayo ng kapangyarihan pagbaba sa inyo ng Espiritu Santo;
ACT_001_1	ACT	001	1	Mga igsoon, kinahanglan nga matuman ang bahin sa kasulatan diin ang Espiritu Santo, pinaagi kang David, mitagna mahitungod kang Judas nga mitultol sa mga tawo nga nagdakop kang Jesus.	Sapagkat siya'y ibinilang sa atin at siya'y tumanggap ng kanyang bahagi sa paglilingkod na ito.
ACT_001_1	ACT	001	1	Kay si Juan nagbunyag pinaagi sa tubig apan pipila na lamang ka adlaw gikan karon bunyagan kamo pinaagi sa Espiritu Santo.	Nang sila'y nagkakatipon, siya'y kanilang tinanong, Panginoon, ito ba ang panahon na panunumbalikin mo ang kaharian sa Israel?
ACT_001_1	ACT	001	1	Si Judas usa ka sakop kanhi sa atong pundok kay napili man siya aron mahiapil sa atong buluhaton.	Bumili nga ang taong ito ng isang bukid mula sa kabayaran ng kanyang kasamaan; at nang bumagsak ng patiwarik ay pumutok ang kanyang tiyan, at sumambulat ang lahat ng kanyang mga lamang loob.
ACT_001_1	ACT	001	1	Ug samtang si Jesus uban pa kanila gitugon niya sila, Ayaw una kamo pagbiya sa Jerusalem.	sapagkat si Juan ay nagbautismo sa tubig;
ACT_001_1	ACT	001	1	Kadto si Judas mipalit ug uma ginamit ang salapi nga gibayad kaniya tungod sa iyang daotang buhat.	At ito'y nahayag sa lahat ng mga naninirahan sa Jerusalem;
ACT_001_1	ACT	001	1	Sulod sa 40 ka adlaw human siya mamatay, mipakita siya kanila sa makadaghan, sa mga paagi nga nagmatuod nga buhi gayod siya.	Habang kasalo nila, ipinagbilin niya sa kanila na huwag umalis sa Jerusalem, kundi hintayin ang pangako ng Ama.
ACT_001_1	ACT	001	1	Ang tanang mga tawo nga nagpuyo sa Jerusalem nakabalita niini busa sa ilang pinulongan ginganlan nilag Akeldama ang maong uma, nga sa ato pa, Ang Uma sa Dugo.	Sapagkat nasusulat sa aklat ng Mga Awit,
ACT_001_1	ACT	001	1	hangtod sa adlaw nga gibayaw siya ngadto sa langit.	Pagkatapos na siya'y magdusa ay buhy siyang nagpakita sa kanila sa pamamagitan ng maraming mga katunayan.
