lang	pam	ilo	bik	krj	rol	pag	tiu	war	prf	ceb	tsg	cbk	tgl	jil	msb	tao
pam	1.0000	0.5697	0.6766	0.7146	0.7033	0.6175	0.5691	0.5102	0.5588	0.7009	0.6050	0.3501	0.7909	0.6740	0.5738	0.6120
ilo	0.5697	1.0000	0.6304	0.6426	0.6266	0.7008	0.6679	0.5496	0.7397	0.5858	0.5735	0.3944	0.5965	0.5881	0.6116	0.6782
bik	0.6766	0.6304	1.0000	0.8246	0.8568	0.7824	0.6668	0.7144	0.6765	0.8599	0.7815	0.4305	0.8466	0.8546	0.9349	0.7151
krj	0.7146	0.6426	0.8246	1.0000	0.9143	0.6771	0.7071	0.7126	0.6180	0.8785	0.6763	0.3861	0.8483	0.9037	0.7887	0.6516
rol	0.7033	0.6266	0.8568	0.9143	1.0000	0.6868	0.7720	0.7626	0.6265	0.8896	0.7217	0.4154	0.8753	0.9305	0.8338	0.6489
pag	0.6175	0.7008	0.7824	0.6771	0.6868	1.0000	0.6181	0.6005	0.7835	0.6900	0.7000	0.5394	0.6962	0.6931	0.7744	0.7707
tiu	0.5691	0.6679	0.6668	0.7071	0.7720	0.6181	1.0000	0.7100	0.6182	0.6298	0.6324	0.4038	0.6185	0.6573	0.6563	0.6281
war	0.5102	0.5496	0.7144	0.7126	0.7626	0.6005	0.7100	1.0000	0.5898	0.6594	0.6970	0.3645	0.6172	0.6615	0.6991	0.5505
prf	0.5588	0.7397	0.6765	0.6180	0.6265	0.7835	0.6182	0.5898	1.0000	0.6067	0.6098	0.4960	0.6279	0.5892	0.6636	0.7103
ceb	0.7009	0.5858	0.8599	0.8785	0.8896	0.6900	0.6298	0.6594	0.6067	1.0000	0.7108	0.4294	0.8884	0.9356	0.8205	0.6237
tsg	0.6050	0.5735	0.7815	0.6763	0.7217	0.7000	0.6324	0.6970	0.6098	0.7108	1.0000	0.4301	0.6961	0.7183	0.7464	0.5904
cbk	0.3501	0.3944	0.4305	0.3861	0.4154	0.5394	0.4038	0.3645	0.4960	0.4294	0.4301	1.0000	0.3874	0.4146	0.4460	0.4742
tgl	0.7909	0.5965	0.8466	0.8483	0.8753	0.6962	0.6185	0.6172	0.6279	0.8884	0.6961	0.3874	1.0000	0.8911	0.7737	0.6675
jil	0.6740	0.5881	0.8546	0.9037	0.9305	0.6931	0.6573	0.6615	0.5892	0.9356	0.7183	0.4146	0.8911	1.0000	0.8474	0.6086
msb	0.5738	0.6116	0.9349	0.7887	0.8338	0.7744	0.6563	0.6991	0.6636	0.8205	0.7464	0.4460	0.7737	0.8474	1.0000	0.6678
tao	0.6120	0.6782	0.7151	0.6516	0.6489	0.7707	0.6281	0.5505	0.7103	0.6237	0.5904	0.4742	0.6675	0.6086	0.6678	1.0000
