lang	jil	ceb	cbk	tao	rol	bik	tiu	msb	pam	pag	ilo	tgl	krj	prf	war	tsg
jil	1.0000	0.9917	0.8151	0.8468	0.9772	0.9563	0.8750	0.9442	0.8934	0.8638	0.7801	0.9733	0.9550	0.8322	0.8899	0.9027
ceb	0.9917	1.0000	0.8438	0.8663	0.9728	0.9676	0.8901	0.9530	0.9106	0.8938	0.8115	0.9736	0.9618	0.8674	0.9099	0.9273
cbk	0.8151	0.8438	1.0000	0.8463	0.8237	0.8341	0.8386	0.8423	0.8184	0.9089	0.8899	0.7975	0.8401	0.9007	0.8011	0.8592
tao	0.8468	0.8663	0.8463	1.0000	0.8803	0.9198	0.9141	0.9136	0.8589	0.9377	0.9057	0.8866	0.8628	0.9438	0.8697	0.9285
rol	0.9772	0.9728	0.8237	0.8803	1.0000	0.9555	0.9385	0.9451	0.9229	0.8810	0.8314	0.9732	0.9732	0.8730	0.9348	0.9163
bik	0.9563	0.9676	0.8341	0.9198	0.9555	1.0000	0.9055	0.9897	0.8876	0.9297	0.8347	0.9690	0.9375	0.9098	0.9225	0.9578
tiu	0.8750	0.8901	0.8386	0.9141	0.9385	0.9055	1.0000	0.9004	0.9330	0.9121	0.9311	0.9107	0.9328	0.9444	0.9526	0.9108
msb	0.9442	0.9530	0.8423	0.9136	0.9451	0.9897	0.9004	1.0000	0.8557	0.9207	0.8282	0.9476	0.9216	0.9056	0.9085	0.9538
pam	0.8934	0.9106	0.8184	0.8589	0.9229	0.8876	0.9330	0.8557	1.0000	0.8784	0.8659	0.9212	0.9471	0.8864	0.9299	0.8842
pag	0.8638	0.8938	0.9089	0.9377	0.8810	0.9297	0.9121	0.9207	0.8784	1.0000	0.9261	0.9049	0.8679	0.9705	0.8871	0.9588
ilo	0.7801	0.8115	0.8899	0.9057	0.8314	0.8347	0.9311	0.8282	0.8659	0.9261	1.0000	0.8139	0.8469	0.9654	0.8555	0.8626
tgl	0.9733	0.9736	0.7975	0.8866	0.9732	0.9690	0.9107	0.9476	0.9212	0.9049	0.8139	1.0000	0.9356	0.8724	0.9193	0.9394
krj	0.9550	0.9618	0.8401	0.8628	0.9732	0.9375	0.9328	0.9216	0.9471	0.8679	0.8469	0.9356	1.0000	0.8778	0.9529	0.8912
prf	0.8322	0.8674	0.9007	0.9438	0.8730	0.9098	0.9444	0.9056	0.8864	0.9705	0.9654	0.8724	0.8778	1.0000	0.9052	0.9435
war	0.8899	0.9099	0.8011	0.8697	0.9348	0.9225	0.9526	0.9085	0.9299	0.8871	0.8555	0.9193	0.9529	0.9052	1.0000	0.9193
tsg	0.9027	0.9273	0.8592	0.9285	0.9163	0.9578	0.9108	0.9538	0.8842	0.9588	0.8626	0.9394	0.8912	0.9435	0.9193	1.0000
