_ Vote wisely | Vote wisely #DapatTama | wisely #DapatTama _ => 175
_ Vote wisely | Vote wisely guys! | wisely guys! _ => 168
_ Vote wisely | Vote wisely everyone! | wisely everyone! _ => 165
_ Vote wisely | Vote wisely ?? | wisely ?? _ => 169
_ Vote wisely | Vote wisely people! | wisely people! _ => 165
_ Vote wisely | Vote wisely guys. | wisely guys. _ => 165
_ Vote wisely | Vote wisely #election2013 | wisely #election2013 _ => 163
_ Vote wisely | Vote wisely guys! | wisely guys! _ => 163
_ Vote wisely | Vote wisely guys. | wisely guys. _ => 164
_ Vote wisely | Vote wisely philippines | wisely philippines _ => 161
_ Vote wisely | Vote wisely people! | wisely people! _ => 161
_ Vote wisely | Vote wisely #dapatama | wisely #dapatama _ => 159
_ Vote wisely | Vote wisely #eleksyon2013. | wisely #eleksyon2013. _ => 159
_ Vote wisely | Vote wisely :))) | wisely :))) _ => 160
_ Vote wisely | Vote wisely :- | wisely :- _ => 159
_ Vote wisely | Vote wisely =)) | wisely =)) _ => 159
_ Vote wisely | Vote wisely =))) | wisely =))) _ => 159
_ Vote wisely | Vote wisely =)))))) | wisely =)))))) _ => 159
_ Vote wisely | Vote wisely ?" | wisely ?" _ => 159
_ Vote wisely | Vote wisely B-) | wisely B-) _ => 159
_ Vote wisely | Vote wisely bitches!! | wisely bitches!! _ => 159
_ Vote wisely | Vote wisely chinggus | wisely chinggus _ => 159
_ Vote wisely | Vote wisely everyone! | wisely everyone! _ => 159
_ Vote wisely | Vote wisely filipinos!!! | wisely filipinos!!! _ => 159
_ Vote wisely | Vote wisely guys!!! | wisely guys!!! _ => 159
_ Vote wisely | Vote wisely guys... | wisely guys... _ => 159
_ Vote wisely | Vote wisely guys:-) | wisely guys:-) _ => 159
_ Vote wisely | Vote wisely hahaha | wisely hahaha _ => 159
_ Vote wisely | Vote wisely http://t.co/8j2j9Lf3gT | wisely http://t.co/8j2j9Lf3gT _ => 159
_ Vote wisely | Vote wisely http://t.co/h8TQ0v937T | wisely http://t.co/h8TQ0v937T _ => 159
_ Vote wisely | Vote wisely kababayan's! | wisely kababayan's! _ => 159
_ Vote wisely | Vote wisely niggas | wisely niggas _ => 159
_ Vote wisely | Vote wisely philippines | wisely philippines _ => 159
_ Vote wisely | Vote wisely pipz. | wisely pipz. _ => 159
_ Vote wisely | Vote wisely ppl | wisely ppl _ => 159
_ Vote wisely | Vote wisely Sebastinians! | wisely Sebastinians! _ => 159
_ Vote wisely | Vote wisely tweeps! | wisely tweeps! _ => 159
_ Time to | Time to vote.. | to vote.. _ => 123
_ Time to | Time to vote... | to vote... _ => 126
_ Time to | Time to go | to go _ => 121
_ Time to | Time to vote!!!! | to vote!!!! _ => 121
_ Time to | Time to vote!" | to vote!" _ => 119
_ Time to | Time to vote!? | to vote!? _ => 119
_ Time to | Time to vote!? | to vote!? _ => 119
_ Time to | Time to vote.. | to vote.. _ => 119
_ Time to | Time to vote.... | to vote.... _ => 120
_ Vote wisely! | Vote wisely! :) | wisely! :) _ => 136
_ Vote wisely! | Vote wisely! :) | wisely! :) _ => 129
_ Vote wisely! | Vote wisely! #DapatTama | wisely! #DapatTama _ => 94
_ Vote wisely! | Vote wisely! ;) | wisely! ;) _ => 94
_ Vote wisely! | Vote wisely! #eleksyon2013 | wisely! #eleksyon2013 _ => 92
_ Vote wisely! | Vote wisely! #fb | wisely! #fb _ => 88
_ Vote wisely! | Vote wisely! #juanvote | wisely! #juanvote _ => 88
_ Vote wisely! | Vote wisely! :-D | wisely! :-D _ => 88
_ Vote wisely! | Vote wisely! :D | wisely! :D _ => 88
_ Vote wisely! | Vote wisely! ;)" | wisely! ;)" _ => 88
_ Vote wisely! | Vote wisely! ? | wisely! ? _ => 88
_ Vote wisely! | Vote wisely! ?????? | wisely! ?????? _ => 88
_ Vote wisely! | Vote wisely! http://t.co/IiECHRhPE4 | wisely! http://t.co/IiECHRhPE4 _ => 88
_ Vote wisely! | Vote wisely! http://t.co/MnjMYbWNc0" | wisely! http://t.co/MnjMYbWNc0" _ => 88
_ Vote wisely! | Vote wisely! http://t.co/O1uqG0YWFt | wisely! http://t.co/O1uqG0YWFt _ => 88
_ Vote wisely! | Vote wisely! http://t.co/RZfWJjUckx | wisely! http://t.co/RZfWJjUckx _ => 88
_ Vote for | Vote for them | for them _ => 79
_ Vote for | Vote for me | for me _ => 78
_ Vote for | Vote for her! | for her! _ => 76
_ Vote for | Vote for E.R! | for E.R! _ => 74
_ Vote for | Vote for him:-) | for him:-) _ => 74
_ Vote for | Vote for me.ü | for me.ü _ => 74
_ Good morning! | Good morning! #votewisely | morning! #votewisely _ => 55
_ Good morning! | Good morning! :) | morning! :) _ => 55
_ Off to | Off to vote! | to vote! _ => 59
_ Off to | Off to vote... | to vote... _ => 52
_ Sa mga | Sa mga kandidatong | mga kandidatong _ => 50
_ Sa mga | Sa mga tumatakbo | mga tumatakbo _ => 49
_ Boto boto | Boto boto rin.. | boto rin.. _ => 46
_ Done voting! | Done voting! #Eleksyon2013 | voting! #Eleksyon2013 _ => 46
_ Done voting! | Done voting! ? | voting! ? _ => 46
_ Vote wisely. | Vote wisely. :) | wisely. :) _ => 58
_ Vote wisely. | Vote wisely. #Halalan2013 | wisely. #Halalan2013 _ => 44
_ Vote wisely. | Vote wisely. #dapattama | wisely. #dapattama _ => 42
_ Vote wisely. | Vote wisely. #Halalan2013 | wisely. #Halalan2013 _ => 42
_ Vote wisely. | Vote wisely. #Halalan2013" | wisely. #Halalan2013" _ => 40
_ Vote wisely. | Vote wisely. #integrity | wisely. #integrity _ => 40
_ Vote wisely. | Vote wisely. :)) | wisely. :)) _ => 40
_ Vote wisely. | Vote wisely. :)))) | wisely. :)))) _ => 40
_ Vote wisely. | Vote wisely. :-) | wisely. :-) _ => 42
_ Vote wisely. | Vote wisely. :D | wisely. :D _ => 40
_ Vote wisely. | Vote wisely. ;) | wisely. ;) _ => 40
_ Vote wisely. | Vote wisely. ? | wisely. ? _ => 41
_ Vote wisely. | Vote wisely. Lul. | wisely. Lul. _ => 40
_ Exercise your | Exercise your right! | your right! _ => 36
_ Exercise your | Exercise your right! | your right! _ => 36
_ Election day | Election day ;( | day ;( _ => 35
_ Election day | Election day ^^ | day ^^ _ => 35
_ Election day | Election day today. | day today. _ => 35
_ Preparin' my | Preparin' my list. | my list. _ => 4
_ Preppin to | Preppin to vote. | to vote. _ => 32
_ Preppin' to | Preppin' to vote | to vote _ => 15
_ Prepping to | Prepping to vote | to vote _ => 15
_ Printing of | Printing of election | of election _ => 3
_ Promise next | Promise next election | next election _ => 3
_ Puro dirty | Puro dirty fingers | dirty fingers _ => 3
_ Queued to | Queued to vote | to vote _ => 15
_ Rainy Election. | Rainy Election. ? | Election. ? _ => 3
_ Results are | Results are in | are in _ => 4
_ Results for | Results for #Halalan2013 | for #Halalan2013 _ => 4
_ """@jandellG: RT | """@jandellG: RT @foreverkiko2m | RT @foreverkiko2m _ => 3
_ @gmanews #Eleksyon2013 | @gmanews #Eleksyon2013 http://t.co/hea16ZhSBS | #Eleksyon2013 http://t.co/hea16ZhSBS _ => 4
_ @IanEsguerra #Vote2013 | @IanEsguerra #Vote2013 Korek | #Vote2013 Korek _ => 4
_ @lauibasmayor @chaaabautista | @lauibasmayor @chaaabautista 7pm!:))) | @chaaabautista 7pm!:))) _ => 4
_ @LOYAL_KATYCAT vote | @LOYAL_KATYCAT vote wisely! | vote wisely! _ => 72
_ @mcABOBOTO huy | @mcABOBOTO huy kalma | huy kalma _ => 4
_ Got to | Got to vote | to vote _ => 18
_ Got to | Got to go | to go _ => 6
_ Hagedorn for | Hagedorn for Senator. | for Senator. _ => 6
_ Hindi naman | Hindi naman pala. | naman pala. _ => 5
_ I can | I can vote | can vote _ => 10
_ I can | I can tell | can tell _ => 5
_ I got | I got it.?? | got it.?? _ => 5
_ I got | I got this! | got this! _ => 5
_ ito ang | ito ang iboto | ang iboto _ => 5
_ I voted | I voted 12. | voted 12. _ => 33
_ I voted | I voted ? | voted ? _ => 33
_ I voted | I voted already | voted already _ => 33
_ Kamusta ang | Kamusta ang botohan? | ang botohan? _ => 5
_ I voted | I voted http://t.co/EURJboIw3k | voted http://t.co/EURJboIw3k _ => 33
_ Kamusta ang | Kamusta ang eleksyon | ang eleksyon _ => 6
_ Kawawa naman | Kawawa naman tayo | naman tayo _ => 5
_ List of | List of Senators: | of Senators: _ => 9
_ List of | List of election | of election _ => 5
_ Done voting | Done voting #halalan2013 | voting #halalan2013 _ => 34
_ Done voting | Done voting #halalan2013 | voting #halalan2013 _ => 31
_ Mayor Lim!! | Mayor Lim!! <3 | Lim!! <3 _ => 5
_ Nakakalungkot ang | Nakakalungkot ang #PHvoteresults. | ang #PHvoteresults. _ => 5
_ para sa | para sa #halalan2013 | sa #halalan2013 _ => 37
_ para sa | para sa eleksyon. | sa eleksyon. _ => 34
_ para sa | para sa akin" | sa akin" _ => 32
_ para sa | para sa Senado. | sa Senado. _ => 33
_ para sa | para sa Senado. | sa Senado. _ => 33
_ para sa | para sa #2013Elections | sa #2013Elections _ => 30
_ para sa | para sa bayan. | sa bayan. _ => 31
_ para sa | para sa bayan." | sa bayan." _ => 31
_ para sa | para sa boto | sa boto _ => 30
_ para sa | para sa election. | sa election. _ => 32
_ para sa | para sa election?" | sa election?" _ => 30
_ para sa | para sa eleksyon | sa eleksyon _ => 31
_ para sa | para sa halalan. | sa halalan. _ => 32
_ para sa | para sa kaniya | sa kaniya _ => 30
_ para sa | para sa kinabukasan! | sa kinabukasan! _ => 30
_ para sa | para sa mayor | sa mayor _ => 32
_ para sa | para sa pagboto | sa pagboto _ => 31
_ para sa | para sa RMMC | sa RMMC _ => 30
_ para sa | para sa votes | sa votes _ => 30
_ Vote wisely! | Vote wisely! :) | wisely! :) _ => 78
_ Vote wisely! | Vote wisely! :) | wisely! :) _ => 71
_ Vote wisely! | Vote wisely! #DapatTama | wisely! #DapatTama _ => 36
_ Vote wisely! | Vote wisely! ;) | wisely! ;) _ => 36
_ Vote wisely! | Vote wisely! #eleksyon2013 | wisely! #eleksyon2013 _ => 34
_ "@ABSCBNNews: Nancy | "@ABSCBNNews: Nancy Binay | Nancy Binay _ => 6
_ Vote wisely! | Vote wisely! #fb | wisely! #fb _ => 30
_ Vote wisely! | Vote wisely! #juanvote | wisely! #juanvote _ => 30
_ Vote wisely! | Vote wisely! :-D | wisely! :-D _ => 30
_ Vote wisely! | Vote wisely! :D | wisely! :D _ => 30
_ Vote wisely! | Vote wisely! ;)" | wisely! ;)" _ => 30
_ Vote wisely! | Vote wisely! ? | wisely! ? _ => 30
_ Vote wisely! | Vote wisely! ?????? | wisely! ?????? _ => 30
_ Vote wisely! | Vote wisely! http://t.co/IiECHRhPE4 | wisely! http://t.co/IiECHRhPE4 _ => 30
_ Vote wisely! | Vote wisely! http://t.co/MnjMYbWNc0" | wisely! http://t.co/MnjMYbWNc0" _ => 30
_ Vote wisely! | Vote wisely! http://t.co/O1uqG0YWFt | wisely! http://t.co/O1uqG0YWFt _ => 30
_ Vote wisely! | Vote wisely! http://t.co/RZfWJjUckx | wisely! http://t.co/RZfWJjUckx _ => 30
_ Let's vote | Let's vote for | vote for _ => 40
_ Let's vote | Let's vote wisely! | vote wisely! _ => 102
_ Let's vote | Let's vote wisely! | vote wisely! _ => 97
_ Let's vote | Let's vote wisely.. | vote wisely.. _ => 34
_ Let's vote | Let's vote wisely.... | vote wisely.... _ => 31
_ "Ang iboboto | "Ang iboboto ko | iboboto ko _ => 4
_ This is | This is funny! | is funny! _ => 29
_ This is | This is it | is it _ => 29
_ "Eleksyon na | "Eleksyon na naman. | na naman. _ => 4
_ "First Time | "First Time Voter! | Time Voter! _ => 4
_ Done voting. | Done voting. #EarlyVoter | voting. #EarlyVoter _ => 25
_ "Kandidato ka | "Kandidato ka ba? | ka ba? _ => 10
_ Done voting. | Done voting. :)#Eleksyon2013 | voting. :)#Eleksyon2013 _ => 25
_ Election 2013 | Election 2013 http://t.co/1QaGAReZYn | 2013 http://t.co/1QaGAReZYn _ => 25
_ Election 2013 | Election 2013 http://t.co/JuDDmcK2aD | 2013 http://t.co/JuDDmcK2aD _ => 25
_ Election 2013 | Election 2013 http://t.co/lg7OL74uVd | 2013 http://t.co/lg7OL74uVd _ => 25
_ Election 2013 | Election 2013 http://t.co/QzKyyxePE3 | 2013 http://t.co/QzKyyxePE3 _ => 25
_ Election 2013 | Election 2013 na! | 2013 na! _ => 25
_ Election 2013 | Election 2013 na! | 2013 na! _ => 25
_ #dapattama #eleksyon2013 | #dapattama #eleksyon2013 http://t.co/dHiB0AeHpL | #eleksyon2013 http://t.co/dHiB0AeHpL _ => 4
_ #dapattama #eleksyon2013 | #dapattama #eleksyon2013 http://t.co/obmChsiBIa | #eleksyon2013 http://t.co/obmChsiBIa _ => 4
_ #dapattama #eleksyon2013 | #dapattama #eleksyon2013 http://t.co/TuLwSuftVV | #eleksyon2013 http://t.co/TuLwSuftVV _ => 4
_ My vote | My vote for | vote for _ => 32
_ My vote | My vote counts. | vote counts. _ => 24
_ #Eleksyon2013 #dapattama | #Eleksyon2013 #dapattama http://t.co/3TF3oE1ZZa | #dapattama http://t.co/3TF3oE1ZZa _ => 4
_ Nancy Binay | Nancy Binay po!" | Binay po!" _ => 30
_ #Eleksyon2013 #dapattama | #Eleksyon2013 #dapattama http://t.co/deFnT0iqSs | #dapattama http://t.co/deFnT0iqSs _ => 4
_ Nancy Binay | Nancy Binay bukas." | Binay bukas." _ => 26
_ Nancy Binay | Nancy Binay bukas.” | Binay bukas.” _ => 26
_ Nancy Binay | Nancy Binay bukas.” | Binay bukas.” _ => 26
_ Nancy Binay | Nancy Binay :) | Binay :) _ => 24
_ Nancy Binay | Nancy Binay :) | Binay :) _ => 24
_ #Halalan2013 #Election2013 | #Halalan2013 #Election2013 http://t.co/5vsVRTLaLD | #Election2013 http://t.co/5vsVRTLaLD _ => 4
_ #Halalan2013 #PHvote | #Halalan2013 #PHvote #election2013 | #PHvote #election2013 _ => 4
